order_id,order_date,region,plan,amount_eur,seats
ORD-000192,2024-07-11,APAC,enterprise,724.94,12
ORD-000193,2024-07-12,APAC,enterprise,591.52,27
ORD-000194,2024-07-13,EMEA,free,863.1,26
ORD-000195,2024-07-14,APAC,enterprise,393.85,24
ORD-000196,2024-07-15,AMER,enterprise,514.35,19
ORD-000197,2024-07-16,APAC,enterprise,521.19,33
ORD-000198,2024-07-17,APAC,free,363.66,10
ORD-000199,2024-07-18,AMER,pro,893.46,30
ORD-000200,2024-07-19,EMEA,free,231.78,5
ORD-000201,2024-07-20,AMER,enterprise,845.95,24
ORD-000202,2024-07-21,APAC,pro,438.27,20
ORD-000203,2024-07-22,AMER,pro,885.82,12
ORD-000204,2024-07-23,AMER,enterprise,175.56,6
ORD-000205,2024-07-24,EMEA,enterprise,486.48,31
ORD-000206,2024-07-25,APAC,free,481.66,10
ORD-000207,2024-07-26,AMER,enterprise,216.81,22
ORD-000208,2024-07-27,APAC,pro,92.28,14
ORD-000209,2024-07-28,APAC,free,855.26,15
ORD-000210,2024-07-29,APAC,pro,31.12,25
ORD-000211,2024-07-30,EMEA,free,865.12,15
ORD-000212,2024-07-31,APAC,pro,231.64,38
ORD-000213,2024-08-01,EMEA,pro,644.6,38
ORD-000214,2024-08-02,AMER,enterprise,99.43,29
ORD-000215,2024-08-03,APAC,free,873.68,24
ORD-000216,2024-08-04,AMER,free,800.29,8
ORD-000217,2024-08-05,AMER,free,573.23,38
ORD-000218,2024-08-06,AMER,pro,503.81,26
ORD-000219,2024-08-07,EMEA,enterprise,427.3,23
ORD-000220,2024-08-08,APAC,free,188.33,37
ORD-000221,2024-08-09,AMER,enterprise,315.55,28
ORD-000222,2024-08-10,EMEA,pro,518.74,21
ORD-000223,2024-08-11,EMEA,enterprise,346.57,7
ORD-000224,2024-08-12,EMEA,pro,243.69,17
ORD-000225,2024-08-13,AMER,pro,844.84,34
ORD-000226,2024-08-14,APAC,pro,426.38,37
ORD-000227,2024-08-15,APAC,free,626.03,12
ORD-000228,2024-08-16,EMEA,free,673.75,9
ORD-000229,2024-08-17,EMEA,free,204.0,22
ORD-000230,2024-08-18,EMEA,pro,897.1,29
ORD-000231,2024-08-19,APAC,free,575.91,12
ORD-000232,2024-08-20,EMEA,free,412.5,5
ORD-000233,2024-08-21,APAC,free,35.69,31
ORD-000234,2024-08-22,AMER,pro,463.68,6
ORD-000235,2024-08-23,APAC,free,767.8,4
ORD-000236,2024-08-24,AMER,pro,229.27,20
ORD-000237,2024-08-25,AMER,pro,385.85,4
ORD-000238,2024-08-26,AMER,enterprise,28.21,3
ORD-000239,2024-08-27,AMER,pro,198.26,22
ORD-000240,2024-08-28,EMEA,free,102.52,4
ORD-000241,2024-08-29,APAC,pro,633.99,24
ORD-000242,2024-08-30,EMEA,enterprise,353.09,21
ORD-000243,2024-08-31,EMEA,pro,572.7,27
ORD-000244,2024-09-01,AMER,free,459.73,34
ORD-000245,2024-09-02,APAC,free,452.94,26
ORD-000246,2024-09-03,AMER,free,458.27,28
ORD-000247,2024-09-04,AMER,enterprise,41.9,39
ORD-000248,2024-09-05,APAC,pro,60.27,27
ORD-000249,2024-09-06,AMER,enterprise,263.37,1
ORD-000250,2024-09-07,APAC,free,329.2,30
ORD-000251,2024-09-08,APAC,free,280.45,39
ORD-000252,2024-09-09,AMER,free,312.0,35
ORD-000253,2024-09-10,EMEA,enterprise,371.57,37
ORD-000254,2024-09-11,AMER,free,398.8,36
ORD-000255,2024-09-12,AMER,enterprise,530.65,10
ORD-000256,2024-09-13,AMER,enterprise,440.65,35
ORD-000257,2024-09-14,EMEA,enterprise,274.77,1
ORD-000258,2024-09-15,EMEA,pro,644.54,4
ORD-000259,2024-09-16,EMEA,free,821.12,11
ORD-000260,2024-09-17,APAC,free,664.82,15
ORD-000261,2024-09-18,AMER,enterprise,651.84,39
ORD-000262,2024-09-19,APAC,enterprise,536.3,7
ORD-000263,2024-09-20,EMEA,pro,474.1,25
ORD-000264,2024-09-21,APAC,free,727.0,12
ORD-000265,2024-09-22,AMER,pro,843.24,2
ORD-000266,2024-09-23,AMER,pro,720.56,4
ORD-000267,2024-09-24,EMEA,free,757.73,1
ORD-000268,2024-09-25,APAC,enterprise,619.79,5
ORD-000269,2024-09-26,APAC,pro,82.57,25
ORD-000270,2024-09-27,EMEA,pro,496.77,3
ORD-000271,2024-09-28,AMER,free,770.84,30
ORD-000272,2024-09-29,AMER,free,448.73,8
ORD-000273,2024-09-30,EMEA,free,733.13,15
ORD-000274,2024-10-01,EMEA,free,783.26,17
ORD-000275,2024-10-02,EMEA,free,700.38,34
ORD-000276,2024-10-03,APAC,free,830.46,21
ORD-000277,2024-10-04,AMER,enterprise,365.47,10
ORD-000278,2024-10-05,AMER,enterprise,414.25,17
ORD-000279,2024-10-06,AMER,enterprise,181.44,40
ORD-000280,2024-10-07,APAC,free,233.21,2
ORD-000281,2024-10-08,AMER,free,197.49,20
ORD-000282,2024-10-09,EMEA,pro,304.27,19
ORD-000283,2024-10-10,AMER,pro,729.62,35
ORD-000284,2024-10-11,EMEA,pro,113.73,23
ORD-000285,2024-10-12,APAC,free,162.44,5
ORD-000286,2024-10-13,EMEA,free,819.82,26
ORD-000287,2024-10-14,EMEA,free,237.23,4
ORD-000288,2024-10-15,APAC,enterprise,415.64,2
ORD-000289,2024-10-16,APAC,pro,196.99,38
ORD-000290,2024-10-17,APAC,enterprise,325.19,30
ORD-000291,2024-10-18,AMER,pro,635.47,9
ORD-000292,2024-10-19,APAC,free,277.79,19
ORD-000293,2024-10-20,APAC,enterprise,123.19,28
ORD-000294,2024-10-21,APAC,pro,268.52,31
ORD-000295,2024-10-22,APAC,pro,567.81,6
ORD-000296,2024-10-23,EMEA,pro,75.13,29
ORD-000297,2024-10-24,APAC,pro,455.16,26
ORD-000298,2024-10-25,EMEA,free,461.74,11
ORD-000299,2024-10-26,AMER,pro,187.92,1
ORD-000300,2024-10-27,APAC,pro,755.53,22
ORD-000301,2024-10-28,APAC,enterprise,128.69,6
ORD-000302,2024-10-29,APAC,enterprise,157.29,27
ORD-000303,2024-10-30,AMER,free,273.24,29
ORD-000304,2024-10-31,APAC,pro,822.75,38
ORD-000305,2024-11-01,APAC,enterprise,868.65,9
ORD-000306,2024-11-02,EMEA,pro,583.44,2
ORD-000307,2024-11-03,APAC,enterprise,891.98,2
ORD-000308,2024-11-04,APAC,enterprise,741.15,24
ORD-000309,2024-11-05,EMEA,pro,682.21,30
ORD-000310,2024-11-06,APAC,enterprise,192.98,6
ORD-000311,2024-11-07,EMEA,enterprise,880.66,15
ORD-000312,2024-11-08,APAC,pro,198.45,24
ORD-000313,2024-11-09,AMER,enterprise,803.44,30
ORD-000314,2024-11-10,AMER,pro,341.7,7
ORD-000315,2024-11-11,EMEA,free,291.49,8
ORD-000316,2024-11-12,AMER,enterprise,413.56,27
ORD-000317,2024-11-13,AMER,pro,521.93,11
ORD-000318,2024-11-14,EMEA,enterprise,540.06,35
ORD-000319,2024-11-15,APAC,pro,240.03,21
ORD-000320,2024-11-16,APAC,enterprise,412.72,32
ORD-000321,2024-11-17,AMER,enterprise,202.15,4
ORD-000322,2024-11-18,EMEA,free,324.32,6
ORD-000323,2024-11-19,EMEA,free,458.57,20
ORD-000324,2024-11-20,APAC,enterprise,380.22,5
ORD-000325,2024-11-21,EMEA,enterprise,78.25,14
ORD-000326,2024-11-22,AMER,free,354.71,34
ORD-000327,2024-11-23,AMER,pro,338.09,10
ORD-000328,2024-11-24,AMER,pro,595.81,15
ORD-000329,2024-11-25,EMEA,free,89.36,21
ORD-000330,2024-11-26,EMEA,enterprise,374.66,18
ORD-000331,2024-11-27,APAC,pro,886.41,18
ORD-000332,2024-11-28,EMEA,pro,179.67,30
ORD-000333,2024-11-29,AMER,pro,687.97,9
ORD-000334,2024-11-30,AMER,enterprise,595.56,26
ORD-000335,2024-12-01,AMER,free,187.76,24
ORD-000336,2024-12-02,AMER,pro,488.58,7
ORD-000337,2024-12-03,AMER,pro,357.8,40
ORD-000338,2024-12-04,APAC,free,28.37,28
ORD-000339,2024-12-05,AMER,enterprise,347.17,32
ORD-000340,2024-12-06,EMEA,enterprise,639.8,20
ORD-000341,2024-12-07,EMEA,enterprise,577.57,36
ORD-000342,2024-12-08,APAC,enterprise,333.37,25
ORD-000343,2024-12-09,EMEA,free,526.28,2
ORD-000344,2024-12-10,AMER,enterprise,629.41,21
ORD-000345,2024-12-11,APAC,free,403.05,36
ORD-000346,2024-12-12,AMER,free,450.61,3
ORD-000347,2024-12-13,APAC,free,307.04,1
ORD-000348,2024-12-14,AMER,pro,277.07,9
ORD-000349,2024-12-15,AMER,pro,725.47,40
ORD-000350,2024-12-16,AMER,free,270.86,32
ORD-000351,2024-12-17,AMER,free,661.33,13
ORD-000352,2024-12-18,APAC,pro,321.81,7
ORD-000353,2024-12-19,APAC,pro,825.57,13
ORD-000354,2024-12-20,AMER,free,172.2,19
ORD-000355,2024-12-21,EMEA,pro,681.07,10
ORD-000356,2024-12-22,EMEA,pro,241.52,33
ORD-000357,2024-12-23,APAC,pro,585.31,30
ORD-000358,2024-12-24,APAC,enterprise,617.21,36
ORD-000359,2024-12-25,APAC,pro,599.35,1
ORD-000360,2024-12-26,EMEA,pro,221.9,13
ORD-000361,2024-12-27,APAC,pro,810.41,2
ORD-000362,2024-12-28,AMER,enterprise,291.88,1
ORD-000363,2024-12-29,AMER,pro,140.86,24
ORD-000364,2024-12-30,EMEA,enterprise,343.16,8
ORD-000365,2024-12-31,AMER,free,395.95,6
ORD-000366,2025-01-01,AMER,pro,458.96,24
ORD-000367,2025-01-02,AMER,enterprise,701.24,3
ORD-000368,2025-01-03,APAC,pro,827.83,17
ORD-000369,2025-01-04,AMER,free,438.49,22
ORD-000370,2025-01-05,EMEA,free,799.28,39
ORD-000371,2025-01-06,AMER,free,227.26,16
ORD-000372,2025-01-07,EMEA,free,193.4,34
ORD-000373,2025-01-08,EMEA,free,491.33,32
ORD-000374,2025-01-09,APAC,pro,348.65,4
ORD-000375,2025-01-10,EMEA,enterprise,571.3,28
ORD-000376,2025-01-11,AMER,pro,185.15,22
ORD-000377,2025-01-12,EMEA,free,261.25,8
ORD-000378,2025-01-13,APAC,free,471.55,12
ORD-000379,2025-01-14,AMER,free,474.87,10
ORD-000380,2025-01-15,APAC,free,287.0,38
ORD-000381,2025-01-16,APAC,pro,89.52,31
ORD-000382,2025-01-17,APAC,pro,202.33,23
ORD-000383,2025-01-18,EMEA,pro,804.09,13
ORD-000384,2025-01-19,EMEA,enterprise,462.31,8
ORD-000385,2025-01-20,AMER,pro,701.31,15
ORD-000386,2025-01-21,AMER,free,316.57,10
ORD-000387,2025-01-22,EMEA,free,709.53,21
ORD-000388,2025-01-23,APAC,enterprise,88.8,7
ORD-000389,2025-01-24,AMER,free,281.42,25
ORD-000390,2025-01-25,APAC,pro,257.75,22
ORD-000391,2025-01-26,APAC,enterprise,751.06,13
ORD-000392,2025-01-27,APAC,free,89.68,23
ORD-000393,2025-01-28,AMER,enterprise,394.07,5
ORD-000394,2025-01-29,AMER,free,485.1,3
ORD-000395,2025-01-30,AMER,free,33.9,32
ORD-000396,2025-01-31,APAC,enterprise,601.38,17
ORD-000397,2025-02-01,APAC,free,381.23,37
ORD-000398,2025-02-02,APAC,enterprise,56.19,9
ORD-000399,2025-02-03,APAC,free,671.0,14
ORD-000400,2025-02-04,EMEA,free,44.55,38
ORD-000401,2025-02-05,APAC,free,448.32,24
ORD-000402,2025-02-06,EMEA,pro,388.84,4
ORD-000403,2025-02-07,AMER,free,458.59,38
ORD-000404,2025-02-08,AMER,free,376.58,9
ORD-000405,2025-02-09,APAC,pro,173.96,33
ORD-000406,2025-02-10,APAC,free,463.14,27
ORD-000407,2025-02-11,APAC,pro,94.8,8
ORD-000408,2025-02-12,APAC,enterprise,340.28,7
ORD-000409,2025-02-13,AMER,enterprise,471.1,34
ORD-000410,2025-02-14,EMEA,free,34.6,22
ORD-000411,2025-02-15,EMEA,pro,221.09,4
ORD-000412,2025-02-16,APAC,free,50.48,31
ORD-000413,2025-02-17,APAC,enterprise,633.8,14
ORD-000414,2025-02-18,APAC,pro,680.5,14
ORD-000415,2025-02-19,EMEA,enterprise,619.57,30
ORD-000416,2025-02-20,APAC,free,57.34,36
ORD-000417,2025-02-21,EMEA,pro,880.58,8
ORD-000418,2025-02-22,AMER,free,407.98,8
ORD-000419,2025-02-23,AMER,enterprise,675.99,34
ORD-000420,2025-02-24,AMER,enterprise,514.82,4
ORD-000421,2025-02-25,AMER,pro,538.13,32
ORD-000422,2025-02-26,AMER,pro,523.87,9
ORD-000423,2025-02-27,APAC,pro,572.88,5
ORD-000424,2025-02-28,APAC,free,513.67,24
ORD-000425,2025-03-01,AMER,pro,149.72,17
ORD-000426,2025-03-02,APAC,pro,875.26,6
ORD-000427,2025-03-03,APAC,free,304.56,8
ORD-000428,2025-03-04,APAC,pro,415.03,38
ORD-000429,2025-03-05,EMEA,pro,52.48,37
ORD-000430,2025-03-06,EMEA,free,788.95,19
ORD-000431,2025-03-07,APAC,enterprise,304.97,4
ORD-000432,2025-03-08,EMEA,enterprise,232.14,17
ORD-000433,2025-03-09,AMER,pro,411.01,8
ORD-000434,2025-03-10,EMEA,free,722.47,24
ORD-000435,2025-03-11,EMEA,pro,542.49,30
ORD-000436,2025-03-12,EMEA,free,393.67,14
ORD-000437,2025-03-13,EMEA,enterprise,731.87,38
ORD-000438,2025-03-14,APAC,enterprise,134.72,38
ORD-000439,2025-03-15,EMEA,pro,379.85,33
ORD-000440,2025-03-16,AMER,enterprise,899.56,38
ORD-000441,2025-03-17,EMEA,pro,321.5,37
ORD-000442,2025-03-18,APAC,free,406.85,12
ORD-000443,2025-03-19,AMER,enterprise,475.76,5
ORD-000444,2025-03-20,APAC,enterprise,36.66,17
ORD-000445,2025-03-21,APAC,enterprise,174.17,33
ORD-000446,2025-03-22,APAC,free,414.18,21
ORD-000447,2025-03-23,AMER,free,170.6,20
ORD-000448,2025-03-24,AMER,enterprise,150.98,33
ORD-000449,2025-03-25,APAC,pro,822.7,18
ORD-000450,2025-03-26,APAC,enterprise,157.3,17
ORD-000451,2025-03-27,AMER,pro,207.17,39
ORD-000452,2025-03-28,EMEA,enterprise,189.28,9
ORD-000453,2025-03-29,EMEA,enterprise,312.38,26
ORD-000454,2025-03-30,APAC,pro,770.52,26
ORD-000455,2025-03-31,EMEA,pro,814.8,28
ORD-000456,2025-04-01,AMER,pro,175.15,34
ORD-000457,2025-04-02,APAC,enterprise,202.05,18
ORD-000458,2025-04-03,EMEA,free,799.1,24
ORD-000459,2025-04-04,AMER,pro,471.3,39
ORD-000460,2025-04-05,EMEA,free,175.83,22
ORD-000461,2025-04-06,AMER,enterprise,253.36,28
ORD-000462,2025-04-07,EMEA,free,866.53,6
ORD-000463,2025-04-08,EMEA,free,744.12,36
ORD-000464,2025-04-09,APAC,pro,546.44,19
ORD-000465,2025-04-10,APAC,pro,615.89,4
ORD-000466,2025-04-11,AMER,enterprise,798.73,8
ORD-000467,2025-04-12,AMER,free,40.11,37
ORD-000468,2025-04-13,APAC,enterprise,88.76,38
ORD-000469,2025-04-14,APAC,free,233.08,35
ORD-000470,2025-04-15,APAC,pro,60.46,20
ORD-000471,2025-04-16,APAC,free,369.91,23
ORD-000472,2025-04-17,AMER,pro,644.13,13
ORD-000473,2025-04-18,AMER,enterprise,645.42,21
ORD-000474,2025-04-19,APAC,pro,259.78,6
ORD-000475,2025-04-20,EMEA,free,94.69,25
ORD-000476,2025-04-21,APAC,enterprise,184.3,28
ORD-000477,2025-04-22,APAC,pro,238.02,11
ORD-000478,2025-04-23,AMER,enterprise,474.22,19
ORD-000479,2025-04-24,EMEA,enterprise,789.27,8
ORD-000480,2025-04-25,AMER,free,47.0,24
ORD-000481,2025-04-26,AMER,enterprise,439.19,36
ORD-000482,2025-04-27,AMER,pro,806.74,30
ORD-000483,2025-04-28,EMEA,free,347.69,6
ORD-000484,2025-04-29,EMEA,enterprise,299.83,10
ORD-000485,2025-04-30,EMEA,enterprise,72.81,12
ORD-000486,2025-05-01,EMEA,pro,279.03,7
ORD-000487,2025-05-02,AMER,enterprise,158.96,27
ORD-000488,2025-05-03,AMER,free,497.42,19
ORD-000489,2025-05-04,APAC,free,137.74,11
ORD-000490,2025-05-05,APAC,pro,178.73,20
ORD-000491,2025-05-06,APAC,free,505.25,36
ORD-000492,2025-05-07,EMEA,pro,345.45,6
ORD-000493,2025-05-08,AMER,pro,553.34,30
ORD-000494,2025-05-09,AMER,free,693.44,35
ORD-000495,2025-05-10,AMER,enterprise,523.82,8
ORD-000496,2025-05-11,AMER,pro,556.35,10
ORD-000497,2025-05-12,APAC,pro,780.36,2
ORD-000498,2025-05-13,AMER,free,108.79,27
ORD-000499,2025-05-14,APAC,pro,68.75,18
ORD-000500,2025-05-15,AMER,free,346.97,22
ORD-000501,2025-05-16,AMER,free,833.09,30
ORD-000502,2025-05-17,APAC,enterprise,734.63,22
ORD-000503,2025-05-18,APAC,pro,643.92,7
ORD-000504,2025-05-19,AMER,pro,796.79,23
